LF,HF,LF/HF Ratio,Class
80,58,1.379310345,1
245,200,1.225,1
443,168,2.636904762,1
58,31,1.870967742,1
154.7,45.5,3.4,1
308,115,2.67826087,1
561,361,1.55401662,1
213.4,382.3,0.558200366,1
405.9,222.9,1.820995962,1
421.7,104.5,4.035406699,1
80,50,1.6,1
95,56,1.696428571,1
427.9,233.5,1.83254818,1
129,59,2.186440678,1
62,92,0.673913043,1
154,114.7,1.342632956,1
68,20,3.4,1
234,96,2.4375,1
780,560,1.392857143,1
207,83,2.493975904,0
163,33,4.939393939,0
272,125,2.176,0
185,69,2.68115942,0
454,127,3.57480315,0
548,383,1.430809399,0
807,567,1.423280423,0
313,163,1.920245399,0
194,120,1.616666667,0
574,121,4.743801653,0
196,159,1.232704403,0
437,214,2.042056075,0
1313,501,2.620758483,0
115,38,3.026315789,0
254,175,1.451428571,0
272,130,2.092307692,0
295.8,133.1,2.222389181,0
821.3,1775.9,0.462469734,0
